	left_context	left_word	term	right_context
0	в ближайшие десять лет Запуск	Запуск	зонда	к астероиду будет возможен либо
0	тока с магнитным полем Земли	Земли	Гальванометр	состоял из поворачивающейся вокруг вертикальной
0	тока с магнитным полем	Земли	Гальванометр	состоял из поворачивающейся вокруг вертикальной
0	эти термины используются в	Ираке	Внешний суверенитет	Ирака был нарушен когда было
0	эти термины используются в Ираке	Ираке	Внешний суверенитет	Ирака был нарушен когда было
0	отменено потом приказом Гиммлера	Их	эксгумировали	и тоже сжигали Всю эту
0	отменено потом приказом Гиммлера Их	Их	эксгумировали	и тоже сжигали Всю эту
0	оси катушки и компаса К	К	катушке	подводили измеряемый ток создававший магнитное
0	оси катушки и компаса	К	катушке	подводили измеряемый ток создававший магнитное
0	происходит после коллапса звезды	Как	квантовая физика	описывает излучение которое исходит от
0	происходит после коллапса звезды Как	Как	квантовая физика	описывает излучение которое исходит от
0	в действительно опасной дозе Количество	Количество	никотина	в разных e сигаретах варьируется
0	в действительно опасной дозе	Количество	никотина	в разных e сигаретах варьируется
0	а кровеносная система нормализуется	Конечно	лейкемия	не ветряная оспа это некая
0	а кровеносная система нормализуется Конечно	Конечно	лейкемия	не ветряная оспа это некая
0	Давайте начнем с либерализации Корни	Корни	либерализации	можно проследить достаточно глубоко в
0	Давайте начнем с либерализации	Корни	либерализации	можно проследить достаточно глубоко в
0	и его анализами то Ксарелто	Ксарелто	ривароксабан	более предпочтителен потому что менее
0	и его анализами то	Ксарелто	ривароксабан	более предпочтителен потому что менее
0	Хьюзом в 1877 году	Кстати	угольные микрофоны	использовались и в XX веке
0	Хьюзом в 1877 году Кстати	Кстати	угольные микрофоны	использовались и в XX веке
0	подтверждение об отсутствии у Лейлы	Лейлы	клеток лейкемии	спустя два месяца после выписки
0	подтверждение об отсутствии у	Лейлы	клеток лейкемии	спустя два месяца после выписки
0	у самцов говорит Филлис	Ли	Самцы	строят крепкие дружеские отношения и
0	у самцов говорит Филлис Ли	Ли	Самцы	строят крепкие дружеские отношения и
0	по древесным кольцам деревьев Методы	Методы	дендроклиматологии	позволяют получить информацию о климатических
0	по древесным кольцам деревьев	Методы	дендроклиматологии	позволяют получить информацию о климатических
0	института поступившем в редакцию Найденный	Найденный	портал	главный вход в здание является
0	института поступившем в редакцию	Найденный	портал	главный вход в здание является
0	идти в тканях ствола	Накопление	биомассы	формирование клеточных стенок все что
0	идти в тканях ствола Накопление	Накопление	биомассы	формирование клеточных стенок все что
0	его чаще всего добывают Нанокристаллы	Нанокристаллы	гидрида кремния	способны поглощать солнечный свет в
0	его чаще всего добывают	Нанокристаллы	гидрида кремния	способны поглощать солнечный свет в
0	45 тысячами лет назад Недавно	Недавно	геном	Усть Ишимского человека был отсеквенирован
0	45 тысячами лет назад	Недавно	геном	Усть Ишимского человека был отсеквенирован
0	жизни как хорошо известно	Но	билингв	все таки в нашей действительности
0	жизни как хорошо известно Но	Но	билингв	все таки в нашей действительности
0	металла и натуральных волокон Образцы	Образцы	проводящих нитей	roject JacquardПодобные проводящие нити используются
0	металла и натуральных волокон	Образцы	проводящих нитей	roject JacquardПодобные проводящие нити используются
0	и вплетаются в ткань	Обычные	волокна	и электроды сгибаясь в паре
0	и вплетаются в ткань Обычные	Обычные	волокна	и электроды сгибаясь в паре
0	пойти в обратном направлении	Одетые	наночастицы	родия направляют реакцию по пути
0	пойти в обратном направлении Одетые	Одетые	наночастицы	родия направляют реакцию по пути
0	ic Pharmacology lab университета	Осло	Система внутреннего подкрепления	reward sys em включает в
0	ic Pharmacology lab университета Осло	Осло	Система внутреннего подкрепления	reward sys em включает в
0	Джозеф Гонсалес Хайдрих начальник Отдела	Отдела	психофармакологии	Бостонского детского госпиталя Эксперимент показал
0	Джозеф Гонсалес Хайдрих начальник	Отдела	психофармакологии	Бостонского детского госпиталя Эксперимент показал
0	времени охоты на ведьм Первые	Первые	демонологические идеи	возникли очень рано в эпоху
0	времени охоты на ведьм	Первые	демонологические идеи	возникли очень рано в эпоху
0	их на бумажной ленте Первый	Первый	грозоотметчик	установили в метеостанции Петербургского Лесного
0	их на бумажной ленте	Первый	грозоотметчик	установили в метеостанции Петербургского Лесного
0	физико математических наук Владимир Побережный	Побережный	Комплексные дифференциальные уравнения	это дифференциальные уравнения у которых
0	физико математических наук Владимир	Побережный	Комплексные дифференциальные уравнения	это дифференциальные уравнения у которых
0	Поиск	Поиск	внеземных геномов	это проект направленный на поиск
0	Поиск	Поиск	внеземных геномов	это проект направленный на поиск
0	Понятие	Понятие	storytelling	еще не нашло в русском
0	Понятие	Понятие	storytelling	еще не нашло в русском
0	Serious Science созданного командой ПостНауки	ПостНауки	Излучение Хокинга	это феномен связанный с черными
0	Serious Science созданного командой	ПостНауки	Пропофол	это один из широкоиспользуемых анестетиков
0	Serious Science созданного командой	ПостНауки	Излучение Хокинга	это феномен связанный с черными
0	Serious Science созданного командой ПостНауки	ПостНауки	Пропофол	это один из широкоиспользуемых анестетиков
0	Каков неврологический механизм анестезии Почему	Почему	анестезиология	не может восприниматься как простая
0	Каков неврологический механизм анестезии	Почему	анестезиология	не может восприниматься как простая
0	означает что он активирован	Поэтому	фактор Xa	это не фактор икс а
0	означает что он активирован Поэтому	Поэтому	фактор Xa	это не фактор икс а
0	ритм его согласованных сокращений При	При	фибрилляции предсердий	риск тромбоза повышен поэтому таким
0	ритм его согласованных сокращений	При	фибрилляции предсердий	риск тромбоза повышен поэтому таким
0	сложно не оценивать изображения	Про	нейрологические субстраты	эстетических предпочтений появляется немало исследований
0	сложно не оценивать изображения Про	Про	нейрологические субстраты	эстетических предпочтений появляется немало исследований
0	надзирателей рассказывает Indicator Ru	Промышленные	катализаторы	будущего смогут не только ускорять
0	надзирателей рассказывает Indicator Ru Промышленные	Промышленные	катализаторы	будущего смогут не только ускорять
0	провел в строжайшей изоляции Результат	Результат	Иммунный ответ	в виде сыпи или лихорадки
0	провел в строжайшей изоляции	Результат	Иммунный ответ	в виде сыпи или лихорадки
0	капитализации компания превосходит Сбербанк	России	Маржинальность	этого бизнеса огромна она выше
0	капитализации компания превосходит Сбербанк России	России	Маржинальность	этого бизнеса огромна она выше
0	которым не до смеха	Сам	тромбин	тоже не плавает на свободе
0	которым не до смеха Сам	Сам	тромбин	тоже не плавает на свободе
0	сообщает издание Наука в Сибири	Сибири	Радиоуглеродное датирование	это один из самых распространенных
0	сообщает издание Наука в	Сибири	Радиоуглеродное датирование	это один из самых распространенных
0	моллюсков в качестве примеси Старение	Старение	углерода	происходит когда он прекращает обмен
0	моллюсков в качестве примеси	Старение	углерода	происходит когда он прекращает обмен
0	в количестве 15 мг	Структура	ривароксабана	Brenton Wikimedia Commons Это вещество
0	в количестве 15 мг Структура	Структура	ривароксабана	Brenton Wikimedia Commons Это вещество
0	что нас так идентифицируют Существует	Существует	самоидентификация	и идентификация другими Все это
0	что нас так идентифицируют	Существует	самоидентификация	и идентификация другими Все это
0	технологию увеличения индекса Хирша	ТУИХ	Наукометрия	как тормоз в развитии науки
0	технологию увеличения индекса Хирша ТУИХ	ТУИХ	Наукометрия	как тормоз в развитии науки
0	получив возможность ими управлять Такие	Такие	девайсы	называют зомби и их владельцы
0	получив возможность ими управлять	Такие	девайсы	называют зомби и их владельцы
0	углерод из пресноводных источников Такой	Такой	углерод	могут содержать и различные артефакты
0	углерод из пресноводных источников	Такой	углерод	могут содержать и различные артефакты
0	тыс в категории Мобильность Тестирование	Тестирование	посадочного модуля	Moon Express Все эти компании
0	тыс в категории Мобильность	Тестирование	посадочного модуля	Moon Express Все эти компании
0	двойных звезд не было	То	гравитационное излучение	которое сейчас открыто косвенным образом
0	двойных звезд не было То	То	гравитационное излучение	которое сейчас открыто косвенным образом
0	он видит эти противоречия	Тяжелой	фрустрации	в текстах нет Липкин А
0	он видит эти противоречия Тяжелой	Тяжелой	фрустрации	в текстах нет Липкин А
0	разработавший технологию увеличения индекса Хирша	Хирша	ТУИХ	Наукометрия как тормоз в развитии
0	разработавший технологию увеличения индекса	Хирша	ТУИХ	Наукометрия как тормоз в развитии
0	то что дает излучение Хокинга	Хокинга	Черные дыры	обладают температурой и излучают энергию
0	то что дает излучение	Хокинга	Черные дыры	обладают температурой и излучают энергию
0	Экспедиция Центра	Центра	египтологических исследований	РАН при раскопках археологического памятника
0	Экспедиция Центра	Центра	египтологических исследований	РАН при раскопках археологического памятника
0	экспедиции и научный руководитель	Центра	египтологических исследований	РАН Галина Александровна Белова рассказывает
0	экспедиции и научный руководитель Центра	Центра	египтологических исследований	РАН Галина Александровна Белова рассказывает
0	1000 раз тоньше волоса	Эти	волокна	половина из которых покрыта золотом
0	1000 раз тоньше волоса Эти	Эти	волокна	половина из которых покрыта золотом
0	будут играть свою роль	Эти	регулятивные механизмы	в высшей степени изменчивы от
0	будут играть свою роль Эти	Эти	регулятивные механизмы	в высшей степени изменчивы от
0	живущих группами имеются лидеры Это	Это	особи	которые побуждают остальных начать движение
0	живущих группами имеются лидеры	Это	особи	которые побуждают остальных начать движение
0	двух словах образование фибрина Это	Это	нитчатый белок	которой паутиной оплетает рану В
0	двух словах образование фибрина	Это	нитчатый белок	которой паутиной оплетает рану В
0	будут не солнечные батареи а	а	плутониевый электрогенератор	Это позволит обеспечить работу большего
0	даже не фактор ха	а	активированная форма фактора десять	Именно в это звено и
0	будут не солнечные батареи	а	плутониевый электрогенератор	Это позволит обеспечить работу большего
0	даже не фактор ха а	а	активированная форма фактора десять	Именно в это звено и
0	мишенями по которым бил автор	автор	ТУИХ	стали вышеупомянутый Теренс Лэнгдон и
0	мишенями по которым бил	автор	ТУИХ	стали вышеупомянутый Теренс Лэнгдон и
0	примерно тогда же предложили	авторы	бихевиористского направления	поведенческого направления предположившие что вдруг
0	примерно тогда же предложили авторы	авторы	бихевиористского направления	поведенческого направления предположившие что вдруг
0	этой системы Под действием активатора	активатора	системы вознаграждения	испытуемые оценивали красивые лица как
0	этой системы Под действием	активатора	системы вознаграждения	испытуемые оценивали красивые лица как
0	красивые лица в мозге активируется	активируется	система внутреннего подкрепления	Это показали эксперименты проведённые в
0	красивые лица в мозге	активируется	система внутреннего подкрепления	Это показали эксперименты проведённые в
0	либо небольшую дозу вещества	активирующего	систему внутреннего подкрепления	морфина либо малое количество вещества
0	либо небольшую дозу вещества активирующего	активирующего	систему внутреннего подкрепления	морфина либо малое количество вещества
0	или о моментах когда	актуализируется	интенсифицируется	ощущение общества В зависимости от
0	или о моментах когда актуализируется	актуализируется	интенсифицируется	ощущение общества В зависимости от
0	человек несколько другого поля американский	американский	нейробиолог	и лауреат Нобелевской премии по
0	человек несколько другого поля	американский	нейробиолог	и лауреат Нобелевской премии по
0	в ферментеры добавляют соли	аммония	NH4+	которые могут использовать и нежелательные
0	в ферментеры добавляют соли аммония	аммония	NH4+	которые могут использовать и нежелательные
0	которая есть отношение квадратов амплитуд	амплитуд	гравитационных волн	к квадрату амплитуды скалярных возмущений
0	которая есть отношение квадратов	амплитуд	гравитационных волн	к квадрату амплитуды скалярных возмущений
0	гравитационных волн к квадрату	амплитуды	скалярных возмущений	Так вот общее предсказание инфляционных
0	гравитационных волн к квадрату амплитуды	амплитуды	скалярных возмущений	Так вот общее предсказание инфляционных
0	состояние которое мы называем	анестезией	Анестезиологи	используют его в двух или
0	состояние которое мы называем анестезией	анестезией	Анестезиологи	используют его в двух или
0	быть и дизайн и архитектура	архитектура	аэронавтика	программирование разработка программного обеспечения искусственный
0	быть и дизайн и	архитектура	аэронавтика	программирование разработка программного обеспечения искусственный
0	октябре прошлого года ботнеты	атаковали	DNS-провайдер	Dyn положив на некоторое время
0	октябре прошлого года ботнеты атаковали	атаковали	DNS-провайдер	Dyn положив на некоторое время
0	из за наличия в	атмосфере	радиоактивных веществ	а третьи реагируют на высокую
0	из за наличия в атмосфере	атмосфере	радиоактивных веществ	а третьи реагируют на высокую
0	что по видимому кишечные	бактерии	дрозофил	вызывают какие то изменения в
0	что по видимому кишечные бактерии	бактерии	дрозофил	вызывают какие то изменения в
0	хотя в целом они безопаснее	безопаснее	варфарина	выбор все же лучше предоставить
0	хотя в целом они	безопаснее	варфарина	выбор все же лучше предоставить
0	людей однако попытки оказались безуспешны	безуспешны	Асимметричное шифрование	прочно вошло в наш мир
0	людей однако попытки оказались	безуспешны	Асимметричное шифрование	прочно вошло в наш мир
0	сказать что бывают случаи	билингвизма	Билингвы	бывают что бы ни говорили
0	сказать что бывают случаи билингвизма	билингвизма	Билингвы	бывают что бы ни говорили
0	альбедо нейтронов Кроме того благодаря	благодаря	плутониевому источнику энергии	Curiosity сможет функционировать во время
0	альбедо нейтронов Кроме того	благодаря	плутониевому источнику энергии	Curiosity сможет функционировать во время
0	было сказано о реальной	близости	славянофилов	и западников в том смысле
0	было сказано о реальной близости	близости	славянофилов	и западников в том смысле
0	человек в среднем получает большую	большую	дозу никотина	чем при курении электронных Жидкость
0	человек в среднем получает	большую	дозу никотина	чем при курении электронных Жидкость
0	тракта Каким образом организм	будет	утилизировать вещества	поступающие в дыхательные пути где
0	умножать то фактически размерность	будет	экспоненциально	расти
0	тракта Каким образом организм будет	будет	утилизировать вещества	поступающие в дыхательные пути где
0	умножать то фактически размерность будет	будет	экспоненциально	расти
0	поиске материала который пропускал	бы	излучение	сквозь себя Получившуюся ткань через
0	поиске материала который пропускал бы	бы	излучение	сквозь себя Получившуюся ткань через
0	нанял Джона Броуэтта гениального	бывшего	руководителя по продажам	европейской компании Dixo s Кук
0	нанял Джона Броуэтта гениального бывшего	бывшего	руководителя по продажам	европейской компании Dixo s Кук
0	геном Усть Ишимского человека	был	отсеквенирован	На основании анализа двух находок
0	геном Усть Ишимского человека был	был	отсеквенирован	На основании анализа двух находок
0	интересной группе активированных зон	была	передняя часть островковой коры	обрабатывающая эмоции и так называемый
0	интересной группе активированных зон была	была	передняя часть островковой коры	обрабатывающая эмоции и так называемый
0	при составлении рейтинга должен быть	быть	интегральный показатель	Но например у Казанского государственного
0	при составлении рейтинга должен	быть	интегральный показатель	Но например у Казанского государственного
0	лет Причина неправильной датировки	в	пресноводном резервуарном эффекте	ПРЭ сообщает издание Наука в
0	для того чтобы находиться	в	пасторальной изоляции	от внешнего мира Он рассчитан
0	Снимок Хабблу удалось получить	в	инфракрасном диапазоне	Само светило закрыто плотной газопылевой
0	который однако не предусмотрен	в	общем разрезе профилей опросов	Это Ростовская государственная консерватория имени
0	монодромия Как продолжаются функции в	в	комплексном мире	Каково пространство решений в комплексной
0	пресной воде карбонатные минералы в	в	грунтовых водах	Поскольку многие осадочные породы состоят
0	Корабль почти целиком сгорел в	в	плотных слоях атмосферы	возможно падение небольших фрагментов аппарата
0	вбивает в строке браузера	в	IP-адреса	Атака на Dyn примечательна не
0	лет Причина неправильной датировки в	в	пресноводном резервуарном эффекте	ПРЭ сообщает издание Наука в
0	воду и углекислый газ	в	метан	СH4 который является высокоэффективным топливом
0	энергия может быть трансформирована в	в	синтетическое топливо	Только консервировать пойманное и закупоренное
0	газопылевой завесой так что	в	видимом спектре	сделать фотографию не получилось бы
0	Эта разработка произвела революцию	в	биомедицине	так как благодаря ей становится
0	ее на себе можно	в	депривационных камерах	изолированных от звуков и часто
0	сочетается с лицом выполненном	в	технике листового золочения	Картонажные пластины с изображением ожерелья
0	пресной воде карбонатные минералы	в	грунтовых водах	Поскольку многие осадочные породы состоят
0	при рассматривании картин а	в	метаисследовании	2014 года канадский и датские
0	Optica заключается в следующем в	в	силиконовое полотно	поместили мельчайшие силиконовые частицы отражающие
0	они возбуждают механические вибрации	в	барабанной перепонке	а потом эти сигналы бегут
0	ученые определяли по разнице	в	радиоуглеродном возрасте	синхронных образцов наземного и водного
0	космического пространства корабль вошел в	в	плотные слои атмосферы	и сгорел сказал представитель Роскосмоса
0	Optica заключается в следующем	в	силиконовое полотно	поместили мельчайшие силиконовые частицы отражающие
0	H2 наночастицы родия заворачиваются в	в	оксидный слой	но не обычный а контролируемый
0	мире Каково пространство решений в	в	комплексной плоскости	На эти и другие вопросы
0	шесть шагов превращая его	в	аммоний	Двум видам дрожжей Saccharomyces cerevisiae
0	воду и углекислый газ в	в	метан	СH4 который является высокоэффективным топливом
0	может стать началом революции в	в	иммунотерапии	рака считает доктор Андре Чоулик
0	что пришла пора превращаться в	в	тромбин	и бить тревогу Первыми о
0	устройством которое превращало звуки в	в	электрические колебания	Первый микрофон представлял собой по
0	Корабль почти целиком сгорел	в	плотных слоях атмосферы	возможно падение небольших фрагментов аппарата
0	шесть шагов превращая его в	в	аммоний	Двум видам дрожжей Saccharomyces cerevisiae
0	который однако не предусмотрен в	в	общем разрезе профилей опросов	Это Ростовская государственная консерватория имени
0	космического пространства корабль вошел	в	плотные слои атмосферы	и сгорел сказал представитель Роскосмоса
0	тонкие клетки которые образуются в	в	зоне камбия	между древесиной и корой начинают
0	энергия может быть трансформирована	в	синтетическое топливо	Только консервировать пойманное и закупоренное
0	ученые определяли по разнице в	в	радиоуглеродном возрасте	синхронных образцов наземного и водного
0	Снимок Хабблу удалось получить в	в	инфракрасном диапазоне	Само светило закрыто плотной газопылевой
0	газопылевой завесой так что в	в	видимом спектре	сделать фотографию не получилось бы
0	депонирование препринтов и публикаций	в	репозитории	Институциональные репозитории создаются и финансируются
0	способны поглощать солнечный свет	в	ближнем инфракрасном, видимом и ультрафиолетовом диапазоне	Это позволяет им выступать в
0	в себя нейроны расположенные в	в	гипоталамусе	коре больших полушарий гиппокампе таламусе
0	способны поглощать солнечный свет в	в	ближнем инфракрасном, видимом и ультрафиолетовом диапазоне	Это позволяет им выступать в
0	монодромия Как продолжаются функции	в	комплексном мире	Каково пространство решений в комплексной
0	мире Каково пространство решений	в	комплексной плоскости	На эти и другие вопросы
